number,accuracy,recall,f1-score
0,"[0, 0.7835476826013104]",0.171428571,0.22027972
1,"[1, 0.7524872603736957]",0.20383693,0.25
2,"[2, 0.7818490657607376]",0.191798942,0.243902439
3,"[3, 0.7891288522203349]",0.170914543,0.207839562
4,"[4, 0.8391167192429022]",0.173828125,0.211652794
5,"[5, 0.8420286338267411]",0.148296593,0.185231539
6,"[6, 0.7740839602038341]",0.165075034,0.20630861
7,"[7, 0.7260373695704926]",0.185918592,0.230402181
8,"[8, 0.7833050230526571]",0.197122302,0.23479006
9,"[9, 0.7687454501334627]",0.132780083,0.16768559
10,"[10, 0.7782091725309391]",0.173541963,0.210708117
11,"[11, 0.8221305508371755]",0.148698885,0.179171333
12,"[12, 0.8303809754913856]",0.149905123,0.184364061
13,"[13, 0.7049259888376608]",0.249776186,0.314543405
14,"[14, 0.782091725309391]",0.203252033,0.250417362
15,"[15, 0.8476098034457656]",0.122222222,0.149051491
16,"[16, 0.9107012860956079]",0.115384615,0.140186916
17,"[17, 0.9131278815821403]",0.10212766,0.118226601
18,"[18, 0.8728463965057025]",0.175572519,0.208459215
19,"[19, 0.9264741567580684]",0.188679245,0.208877285
,,,
,,0.168508008,0.206104914
