number,accuracy,recall,f1-score
0,"[0, 0.8223732103858287]",0.004081633,0.008130081
1,"[1, 0.7985925746178112]",0.007194245,0.014251781
2,"[2, 0.8165493812181509]",0,0
3,"[3, 0.8381460810482892]",0,0
4,"[4, 0.8755156515408882]",0,0
5,"[5, 0.87939820431934]",0.004008016,0.007984032
6,"[6, 0.8218878912885222]",0,0
7,"[7, 0.7794224702742053]",0,0
8,"[8, 0.8313516136859985]",0,0
9,"[9, 0.8250424654210143]",0.002766252,0.005517241
10,"[10, 0.8298956563940791]",0.00284495,0.005673759
11,"[11, 0.8694491628245572]",0,0
12,"[12, 0.8721184178597428]",0,0
13,"[13, 0.728463965057025]",0.005371531,0.01061008
14,"[14, 0.8211599126425625]",0.001355014,0.00270636
15,"[15, 0.890560543557389]",0,0
16,"[16, 0.9369085173501577]",0,0
17,"[17, 0.9429750060664888]",0,0
18,"[18, 0.9046347973792769]",0,0
19,"[19, 0.9500121329774327]",0.028301887,0.055045872
,,,
,,0.002796176,0.00549596
