question,difficult
0,0.417402698
1,0.501261768
2,0.519217704
3,0.511647093
4,0.545908959
5,0.574735514
6,0.576482578
7,0.581917888
8,0.603270892
9,0.580462001
10,0.595991459
11,0.601572358
12,0.631223915
13,0.630301854
14,0.627778317
15,0.666262254
16,0.65903135
17,0.677375522
18,0.690915267
19,0.71236533
20,0.721391828
21,0.708337377
22,0.734494807
23,0.744491896
24,0.702805008
25,0.731728623
26,0.693244686
27,0.713335922
28,0.734785985
29,0.738765408
30,0.691012327
31,0.726972726
32,0.706396195
33,0.742647772
34,0.757352228
35,0.72551684
36,0.766669902
37,1
38,0.686499078
39,0.757206639
40,0.765068427
41,0.815830341
42,0.761331651
43,0.793409686
44,0.767543434
45,0.803503834
46,0.759341939
47,0.806852373
48,0.832621567
49,0.782296419
50,0.73090362
51,0.742696302
52,0.748956615
53,0.72226536
54,0.738037465
55,0.753033097
56,0.78646996
57,0.749975735
58,0.747743376
59,0.760215471
60,0.776812579
61,0.802096477
62,0.815393575
63,0.788362613
64,0.807628846
65,0.831359798
66,0.703096186
67,0.754731632
68,0.773803746
69,0.729059497
70,0.744928662
71,0.751140445
72,0.766427254
73,0.78433466
74,0.793603805
75,0.818402407
76,0.838202465
77,0.842473066
78,0.806367078
79,0.848781908
80,0.827623022
81,0.841745123
82,0.848830438
83,0.848976026
84,0.821120062
85,0.84092012
86,0.851499563
87,0.843395128
88,0.849995147
89,0.861545181
90,0.836406872
91,0.844851014
92,0.839803941
93,0.845384839
94,0.843492187
95,0.857711346
96,0.863923129
97,0.879258468
98,0.856449578
99,0.876637872
