number,accuracy,recall,f1-score
0,"[0, 0.8255277845183208]",0.023129252,0.045152722
1,"[1, 0.8046590633341422]",0.039568345,0.075774971
2,"[2, 0.8216452317398689]",0.031746032,0.061302682
3,"[3, 0.8410579956321281]",0.017991004,0.035346097
4,"[4, 0.8779422470274205]",0.021484375,0.041904762
5,"[5, 0.8837660761950983]",0.04008016,0.077071291
6,"[6, 0.8223732103858287]",0.004092769,0.008130081
7,"[7, 0.7818490657607376]",0.02420242,0.046659597
8,"[8, 0.8349915069157972]",0.028776978,0.055555556
9,"[9, 0.8269837418102403]",0.020746888,0.040376851
10,"[10, 0.8359621451104101]",0.042674253,0.081521739
11,"[11, 0.8687211841785974]",0.001858736,0.003683241
12,"[12, 0.8733317156030089]",0.009487666,0.018796992
13,"[13, 0.7371997088085416]",0.047448523,0.089150547
14,"[14, 0.8264984227129337]",0.037940379,0.072632944
15,"[15, 0.8927444794952681]",0.02,0.039130435
16,"[16, 0.9383644746420772]",0.042307692,0.079710145
17,"[17, 0.9439456442611017]",0.021276596,0.041493776
18,"[18, 0.9065760737685028]",0.025445293,0.049382716
19,"[19, 0.9514680902693521]",0.070754717,0.130434783
,,,
,,0.028550604,0.054660596
